firstname,lastname,age,campus,qualification,email,id
Melissa,Carrillo,42,Christchurch,,Melissa.Carrillo@lecturer.whitecliffe.ac.nz,MelCar_WHITECLIFFE
Justin,Jimenez,26,Wellington,,Justin.Jimenez@lecturer.whitecliffe.ac.nz,JusJim_WHITECLIFFE
Michael,Sullivan,35,Auckland,,Michael.Sullivan@lecturer.whitecliffe.ac.nz,MicSul_WHITECLIFFE
John,Kim,55,Auckland,,John.Kim@lecturer.whitecliffe.ac.nz,JohKim_WHITECLIFFE
Jay,Thomas,32,Dunedin,,Jay.Thomas@lecturer.whitecliffe.ac.nz,JayTho_WHITECLIFFE
Lisa,Martinez,36,Wellington,,Lisa.Martinez@lecturer.whitecliffe.ac.nz,LisMar_WHITECLIFFE
Steven,Pruitt,44,Wellington,,Steven.Pruitt@lecturer.whitecliffe.ac.nz,StePru_WHITECLIFFE
Thomas,Cole,45,Auckland,,Thomas.Cole@lecturer.whitecliffe.ac.nz,ThoCol_WHITECLIFFE
Stephanie,Carlson,33,Auckland,,Stephanie.Carlson@lecturer.whitecliffe.ac.nz,SteCar_WHITECLIFFE
Richard,Smith,36,Dunedin,,Richard.Smith@lecturer.whitecliffe.ac.nz,RicSmi_WHITECLIFFE
Timothy,Molina,28,Auckland,,Timothy.Molina@lecturer.whitecliffe.ac.nz,TimMol_WHITECLIFFE
David,Rose,36,Auckland,,David.Rose@lecturer.whitecliffe.ac.nz,DavRos_WHITECLIFFE
Bethany,Evans,44,Christchurch,,Bethany.Evans@lecturer.whitecliffe.ac.nz,BetEva_WHITECLIFFE
Francisco,Roth,40,Auckland,,Francisco.Roth@lecturer.whitecliffe.ac.nz,FraRot_WHITECLIFFE
Joel,Carson,20,Auckland,,Joel.Carson@lecturer.whitecliffe.ac.nz,JoeCar_WHITECLIFFE
Amanda,Hernandez,27,Auckland,,Amanda.Hernandez@lecturer.whitecliffe.ac.nz,AmaHer_WHITECLIFFE
Megan,Ingram,28,Hamilton,,Megan.Ingram@lecturer.whitecliffe.ac.nz,MegIng_WHITECLIFFE
Angela,Henry,31,Hamilton,,Angela.Henry@lecturer.whitecliffe.ac.nz,AngHen_WHITECLIFFE
Thomas,Diaz,28,Christchurch,,Thomas.Diaz@lecturer.whitecliffe.ac.nz,ThoDia_WHITECLIFFE
Amber,Mason,38,Hamilton,,Amber.Mason@lecturer.whitecliffe.ac.nz,AmbMas_WHITECLIFFE
Amanda,Barajas,21,Christchurch,,Amanda.Barajas@lecturer.whitecliffe.ac.nz,AmaBar_WHITECLIFFE
Karen,Phillips,31,Wellington,,Karen.Phillips@lecturer.whitecliffe.ac.nz,KarPhi_WHITECLIFFE
Stephanie,Townsend,48,Hamilton,,Stephanie.Townsend@lecturer.whitecliffe.ac.nz,SteTow_WHITECLIFFE
Ryan,Webster,41,Hamilton,,Ryan.Webster@lecturer.whitecliffe.ac.nz,RyaWeb_WHITECLIFFE
Olivia,Bass,25,Wellington,,Olivia.Bass@lecturer.whitecliffe.ac.nz,OliBas_WHITECLIFFE
Travis,Rogers,46,Hamilton,,Travis.Rogers@lecturer.whitecliffe.ac.nz,TraRog_WHITECLIFFE
Dillon,Russell,54,Wellington,,Dillon.Russell@lecturer.whitecliffe.ac.nz,DilRus_WHITECLIFFE
Scott,Reynolds,46,Auckland,,Scott.Reynolds@lecturer.whitecliffe.ac.nz,ScoRey_WHITECLIFFE
Cindy,Smith,25,Wellington,,Cindy.Smith@lecturer.whitecliffe.ac.nz,CinSmi_WHITECLIFFE
Thomas,Jones,27,Auckland,,Thomas.Jones@lecturer.whitecliffe.ac.nz,ThoJon_WHITECLIFFE
Michelle,Wilson,43,Auckland,,Michelle.Wilson@lecturer.whitecliffe.ac.nz,MicWil_WHITECLIFFE
Amber,Sheppard,39,Wellington,,Amber.Sheppard@lecturer.whitecliffe.ac.nz,AmbShe_WHITECLIFFE
Justin,Richards,20,Christchurch,,Justin.Richards@lecturer.whitecliffe.ac.nz,JusRic_WHITECLIFFE
Victoria,Ortiz,50,Dunedin,,Victoria.Ortiz@lecturer.whitecliffe.ac.nz,VicOrt_WHITECLIFFE
Ryan,Guzman,46,Hamilton,,Ryan.Guzman@lecturer.whitecliffe.ac.nz,RyaGuz_WHITECLIFFE
Autumn,Irwin,29,Hamilton,,Autumn.Irwin@lecturer.whitecliffe.ac.nz,AutIrw_WHITECLIFFE
Timothy,Olson,38,Hamilton,,Timothy.Olson@lecturer.whitecliffe.ac.nz,TimOls_WHITECLIFFE
Troy,Hubbard,63,Christchurch,,Troy.Hubbard@lecturer.whitecliffe.ac.nz,TroHub_WHITECLIFFE
Katie,Wade,33,Christchurch,,Katie.Wade@lecturer.whitecliffe.ac.nz,KatWad_WHITECLIFFE
